Price,Details,Title,Location
"₹ 16,000",2 BHK - 2 Bathroom - 900 sqft,2bhk flat rent fully furnished Samriddhi parisar Lalita Nagar Kolar,"KOLAR ROAD, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 800 sqft,Need Flat mate for rent in 2BHK,"OLD MINAL RESIDENCY, BHOPAL"
"₹ 9,000",2 BHK - 3 Bathroom - 1000 sqft,House for rent,"GORA, BHOPAL"
"₹ 10,000",2 BHK - 2 Bathroom - 800 sqft,2 BHK Flat for Rent,"MISROD, BHOPAL"
"₹ 4,000",2 BHK - 1 Bathroom - 600 sqft,Two rooms with kitchen | neelbaad choraha,"BARKHERI, BHOPAL"
"₹ 12,000",2 BHK - 2 Bathroom - 1000 sqft,2 BHK duplex house for rent,"NARILA SHANKARI, BHOPAL"
"₹ 14,500",2 BHK - 2 Bathroom - 1300 sqft,2bhk falt for Rent place orchid Square Kolar Road,"KOLAR ROAD, BHOPAL"
"₹ 12,500",2 BHK - 2 Bathroom - 1200 sqft,San khedi Narayana school ke pass Kolar road,"KOLAR ROAD, BHOPAL"
"₹ 9,000",2 BHK - 2 Bathroom - 800 sqft,Shree krishna campus priyanka nagar kolar road bhopal,"KOLAR ROAD, BHOPAL"
"₹ 25,000",2 BHK - 2 Bathroom - 1300 sqft,Full furnished house,"DANISH SQUARE, BHOPAL"
"₹ 2,250",2 BHK - 2 Bathroom - 1400 sqft,Need roommate only bihar uttar pradesh,"INDRAPURI C SECTOR, BHOPAL"
"₹ 5,000",2 BHK - 1 Bathroom - 500 sqft,House For Rent ( only for family),"NARILA SHANKARI BALAJI NAGAR, BHOPAL"
